name,hub_type,state,city,latitude,longitude,operator,capacity_notes,source_url
Indira Gandhi International Airport (DEL),air_cargo,Delhi,New Delhi,28.5562,77.0999,Delhi International Airport Ltd (GMR) / AAI cargo terminal operators,India's largest air cargo hub; >1 MTPA; dual terminals (Centre for Perishable Cargo etc.),https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport
Chhatrapati Shivaji Maharaj International Airport (BOM),air_cargo,Maharashtra,Mumbai,19.0886,72.8679,Mumbai International Airport Ltd (Adani) / AAI,Major international cargo terminal; pharma and perishables,https://en.wikipedia.org/wiki/Chhatrapati_Shivaji_Maharaj_International_Airport
Kempegowda International Airport (BLR),air_cargo,Karnataka,Bengaluru,13.1986,77.7066,Bangalore International Airport Ltd (Fancy DCs at BLR Cargo Village),Fast-growing cargo hub; perishables and e-commerce,https://en.wikipedia.org/wiki/Kempegowda_International_Airport
Rajiv Gandhi International Airport (HYD),air_cargo,Telangana,Hyderabad,17.2313,78.4298,GMR Hyderabad International Airport Ltd,Home of Pharma City links; large cool-chain pharma cargo,https://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport
Chennai International Airport (MAA),air_cargo,Tamil Nadu,Chennai,12.9941,80.1707,Airports Authority of India (AAI),Integrated cargo complex; gateway for South India perishables and engineering goods,https://en.wikipedia.org/wiki/Chennai_International_Airport
Netaji Subhas Chandra Bose International Airport (CCU),air_cargo,West Bengal,Kolkata,22.6547,88.4467,Airports Authority of India (AAI),Eastern India cargo gateway,https://en.wikipedia.org/wiki/Netaji_Subhas_Chandra_Bose_International_Airport
Sardar Vallabhbhai Patel International Airport (AMD),air_cargo,Gujarat,Ahmedabad,23.0772,72.6262,Adani Ahmedabad International Airport Ltd,Textiles pharma and perishables cargo,https://en.wikipedia.org/wiki/Sardar_Vallabhbhai_Patel_International_Airport
Cochin International Airport (COK),air_cargo,Kerala,Kochi,10.1520,76.4019,Cochin International Airport Ltd (CIAL),Major perishables (spices vegetables) export hub; dedicated cargo centre,https://en.wikipedia.org/wiki/Cochin_International_Airport
Pune Airport (PNQ),air_cargo,Maharashtra,Pune,18.5822,73.9197,Airports Authority of India (AAI),Cargo terminal serving auto and engineering cluster,https://en.wikipedia.org/wiki/Pune_Airport
Dr. Babasaheb Ambedkar International Airport (NAG),air_cargo,Maharashtra,Nagpur,21.0922,79.0470,MIHAN Airport / AAI,Integrated with MIHAN cargo hub,https://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport
Chaudhary Charan Singh International Airport (LKO),air_cargo,Uttar Pradesh,Lucknow,26.7606,80.8893,Adani Lucknow International Airport Ltd,Cargo terminal operational; perishables from UP belt,https://en.wikipedia.org/wiki/Chaudhary_Charan_Singh_International_Airport
Lokpriya Gopinath Bordoloi International Airport (GAU),air_cargo,Assam,Guwahati,26.1061,91.5851,Airports Authority of India (AAI),NE India cargo gateway; Agri-export hub plans,https://en.wikipedia.org/wiki/Lokpriya_Gopinath_Bordoloi_International_Airport
Trivandrum International Airport (TRV),air_cargo,Kerala,Thiruvananthapuram,8.4821,76.9200,Adani Trivandrum International Airport Ltd,Perishables and express cargo,https://en.wikipedia.org/wiki/Trivandrum_International_Airport
Calicut International Airport (CCJ),air_cargo,Kerala,Kozhikode,11.1368,75.9552,Adani / AAI,Perishables and general cargo,https://en.wikipedia.org/wiki/Calicut_International_Airport
Jaipur International Airport (JAI),air_cargo,Rajasthan,Jaipur,26.8242,75.8119,Adani Jaipur International Airport Ltd,Gems jewellery and handicrafts air cargo,https://en.wikipedia.org/wiki/Jaipur_International_Airport
Sri Guru Ram Dass Jee International Airport (ATQ),air_cargo,Punjab,Amritsar,31.7098,74.7973,Airports Authority of India (AAI),Cargo terminal; farm produce exports,https://en.wikipedia.org/wiki/Sri_Guru_Ram_Dass_Jee_International_Airport
Lal Bahadur Shastri International Airport (VNS),air_cargo,Uttar Pradesh,Varanasi,25.4524,82.8593,Airports Authority of India (AAI),Cargo terminal; carpet and agri exports,https://en.wikipedia.org/wiki/Lal_Bahadur_Shastri_International_Airport
Biju Patnaik International Airport (BBI),air_cargo,Odisha,Bhubaneswar,20.2438,85.8180,Airports Authority of India (AAI),Cargo terminal serving Odisha,https://en.wikipedia.org/wiki/Biju_Patnaik_International_Airport
Sheikh ul-Alam International Airport (SXR),air_cargo,Jammu and Kashmir,Srinagar,33.9871,74.7742,Airports Authority of India (AAI),Perishables (fruit) exports,https://en.wikipedia.org/wiki/Sheikh_ul-Alam_International_Airport
Jay Prakash Narayan International Airport (PAT),air_cargo,Bihar,Patna,25.5905,85.0858,Airports Authority of India (AAI),Cargo facilities limited; expanding,https://en.wikipedia.org/wiki/Jay_Prakash_Narayan_International_Airport
Devi Ahilya Bai Holkar International Airport (IDR),air_cargo,Madhya Pradesh,Indore,22.7218,75.8013,Airports Authority of India (AAI),Cargo terminal; textiles and agri,https://en.wikipedia.org/wiki/Devi_Ahilya_Bai_Holkar_Airport
Mangaluru International Airport (IXE),air_cargo,Karnataka,Mangaluru,12.9613,74.8903,Adani Mangaluru International Airport Ltd,Perishables and general cargo,https://en.wikipedia.org/wiki/Mangaluru_International_Airport
Visakhapatnam International Airport (VTZ),air_cargo,Andhra Pradesh,Visakhapatnam,17.7213,83.2245,Airports Authority of India (AAI),Cargo terminal serving industrial belt,https://en.wikipedia.org/wiki/Visakhapatnam_Airport
Surat Airport (STV),air_cargo,Gujarat,Surat,21.1141,72.7418,Airports Authority ofIndia (AAI),Growing cargo ops for textiles/diamonds; international expansion underway,https://en.wikipedia.org/wiki/Surat_Airport
Tiruchirappalli International Airport (TRZ),air_cargo,Tamil Nadu,Tiruchirappalli,10.7654,78.7097,Airports Authority of India (AAI),Cargo terminal; agri exports to Gulf/SEA,https://en.wikipedia.org/wiki/Tiruchirappalli_International_Airport
