name,hub_type,state,city,latitude,longitude,operator,capacity_notes,source_url
Varanasi Multi-Modal Terminal,iw_terminal,Uttar Pradesh,Varanasi,25.3176,82.9739,Inland Waterways Authority of India (IWAI),NW-1 Ganga; multimodal terminal capacity 1.26 MTPA; operational since Nov 2018; containers and bulk (edible oil; fertilizers; foodgrain),https://iwai.gov.in/national-waterways1?page=2
Kalughat Intermodal Container Terminal,iw_terminal,Bihar,Kalughat (Saran district),25.7400,84.9500,Inland Waterways Authority of India (IWAI),NW-1 Ganga; intermodal container terminal capacity 77000 TEU/year; operational,https://iwai.gov.in/national-waterways1?page=2
Sahibganj Multi-Modal Terminal,iw_terminal,Jharkhand,Sahibganj,25.2497,87.6473,Inland Waterways Authority of India (IWAI),NW-1 Ganga; multimodal terminal capacity 3.03 MTPA; operational; bulk cargo coal and stone chips,https://iwai.gov.in/national-waterways1?page=2
Haldia Multi-Modal Terminal,iw_terminal,West Bengal,Haldia,22.0667,88.0698,Inland Waterways Authority of India (IWAI),NW-1 Ganga; multimodal terminal capacity 3.08 MTPA; operational; containers fly ash fertilizers edible oil,https://iwai.gov.in/national-waterways1?page=2
Patna (Gaighat) Terminal,iw_terminal,Bihar,Patna,25.5941,85.1376,Inland Waterways Authority of India (IWAI),NW-1 Ganga; fixed terminal at Gaighat Patna; serves cargo and tourist vessels,https://en.wikipedia.org/wiki/National_Waterway_1
Farrakka Terminal,iw_terminal,West Bengal,Farakka,24.8046,87.9020,Inland Waterways Authority of India (IWAI),NW-1 Ganga; fixed terminal below Farakka Barrage; new navigational lock at Farakka under Jal Marg Vikas Project,https://en.wikipedia.org/wiki/National_Waterway_1
Dhubri Terminal,iw_terminal,Assam,Dhubri,26.0172,89.9785,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; fixed RCC Ro-Ro terminal with 2 godowns and crane pontoon; operational; customs and immigration facilities; Ro-Ro service to Hatsingimari,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Hatsingimari Ro-Ro Terminal,iw_terminal,Assam,Hatsingimari (South Salmara-Mankachar),26.0200,89.9300,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; temporary Ro-Ro terminal with steel crane pontoon; operational Ro-Ro service between Dhubri and Hatsingimari,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Jogighopa Terminal,iw_terminal,Assam,Jogighopa (Bongaigaon district),26.2354,90.5747,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; floating terminal with crane pontoon; declared Port of Call; DGPS installed; coal and stone chips cargo,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Pandu Terminal (Guwahati),iw_terminal,Assam,Guwahati (Pandu),26.1600,91.6800,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; major fixed terminal with low- and high-level RCC jetties; 2 godowns; shore and container cranes; BG rail siding; RO-PAX ferry operational,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Tezpur Terminal,iw_terminal,Assam,Tezpur,26.6333,92.8000,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; floating terminal with steel pontoon; cargo handling and local ferry service,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Biswanath Ghat Terminal,iw_terminal,Assam,Biswanath Ghat (Biswanath district),26.7333,93.1500,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; floating terminal; projected for POL foodgrain and ODC cargo; DGPS station installed,https://iwai.gov.in/offerings/national-waterway/national-waterways2
Silghat Terminal,iw_terminal,Assam,Silghat (Nagaon district),26.6167,92.9167,Inland Waterways Authority of India (IWAI),NW-2 Brahmaputra; floating terminal with steel pontoon; cargo vessels and local ferries; designated Port of Call on Indo-Bangladesh Protocol route,https://iwai.gov.in/offerings/national-waterway/national-waterways2
