name,corridor,node_type,state,district,city,latitude,longitude,area_acres,status,operator,source_url,district_code
Dholera Special Investment Region (DSIR),DMIC,Special Investment Region / Smart City,Gujarat,Ahmadabad,Dholera,22.245,72.195,227000,Under Implementation / Operational Anchor,Dholera Industrial City Development Ltd (DICDL),https://nicdc.in/project/dholera-special-investment-region-dsir,
Shendra Bidkin Industrial Area (AURIC),DMIC,Smart Industrial City,Maharashtra,Aurangabad,Chhatrapati Sambhajinagar,19.876,75.524,10000,Operational,Aurangabad Industrial Township Ltd (AITL),https://nicdc.in/project/shendra-bidkin-industrial-area-sbia,
Vikram Udyogpuri,DMIC,Integrated Industrial Township,Madhya Pradesh,Ujjain,Ujjain,23.218,75.892,1100,Operational,MP Industrial Development Corporation (MPIDC),https://nicdc.in/project/vikram-udyogpuri,
Integrated Industrial Township Greater Noida (IITGN),DMIC,Smart Industrial City,Uttar Pradesh,Gautam Buddha Nagar,Greater Noida,28.482,77.535,747,Operational,DMIC IITGNL,https://nicdc.in/project/integrated-industrial-township-greater-noida,
Manesar Bawal Industrial Area (MBIR),DMIC,Industrial Region,Haryana,Rewari,Bawal,28.082,76.582,10000,Under Development,HSIIDC,https://nicdc.in/project/manesar-bawal-investment-region,
Khushkhera Bhiwadi Neemrana (KBNIR),DMIC,Investment Region,Rajasthan,Alwar,Neemrana,27.985,76.385,14000,Under Development,RIICO,https://nicdc.in/project/khushkhera-bhiwadi-neemrana-investment-region,
Jodhpur Pali Marwar Industrial Area (JPMIA),DMIC,Industrial Area,Rajasthan,Pali,Rohat,25.985,73.125,6500,Under Implementation,RIICO,https://nicdc.in/project/jodhpur-pali-marwar-industrial-area,
Mandal Bechraji Special Investment Region (MBSIR),DMIC,Auto & Manufacturing SIR,Gujarat,Mahesana,Becharaji,23.512,72.045,25000,Operational (Maruti/Honda Cluster),GIDB / GIDC,https://gidb.org/mbsir,
Dighi Port Industrial Area,DMIC,Port Industrial Area,Maharashtra,Raigarh,Dighi / Roha,18.285,73.015,6000,Planning / Land Acquisition,MIDC,https://nicdc.in/project/dighi-port-industrial-area,520.0
Tumakuru Industrial Node,CBIC,Integrated Industrial Township,Karnataka,Tumakuru,Vasanthanarasapura,13.412,77.015,8500,Under Implementation / Operational Phase 1,NICDIT / KIADB,https://nicdc.in/project/tumakuru-node,
Krishnapatnam Industrial Node,CBIC,Coastal Industrial Node,Andhra Pradesh,Sri Potti Sriramulu Nellore,Krishnapatnam,14.285,80.082,12000,Under Implementation,APIIC / NICDIT,https://nicdc.in/project/krishnapatnam-node,
Ponneri Industrial Node,CBIC,Heavy Engineering & Port Node,Tamil Nadu,Thiruvallur,Ponneri,13.325,80.215,4000,Planning / Master Planning Complete,TIDCO / NICDIT,https://nicdc.in/project/ponneri-node,
Integrated Manufacturing Cluster (IMC) Rajpura,AKIC,Integrated Manufacturing Cluster,Punjab,Patiala,Rajpura,30.485,76.585,1100,Approved / Land Identified,PSIEC / NICDIT,https://nicdc.in/project/amritsar-kolkata-industrial-corridor,
Integrated Manufacturing Cluster (IMC) Praghurajpur / Fatehpur,AKIC,Integrated Manufacturing Cluster,Uttar Pradesh,Fatehpur,Fatehpur,25.925,80.812,1500,Under Planning,UPSIDA / NICDIT,https://nicdc.in/project/akic-uttar-pradesh,
Integrated Manufacturing Cluster (IMC) Gaya,AKIC,Integrated Manufacturing Cluster,Bihar,Gaya,Dobhi,24.582,84.952,1670,Approved / Master Planning,BIADA / NICDIT,https://nicdc.in/project/akic-bihar,
Integrated Manufacturing Cluster (IMC) Raghunathpur,AKIC,Integrated Manufacturing Cluster,West Bengal,Puruliya,Raghunathpur,23.542,86.672,2480,Under Planning,WBIDC / NICDIT,https://nicdc.in/project/akic-west-bengal,
Kopparthy Industrial Node,VCIC,Manufacturing Cluster / Mega Industrial Hub,Andhra Pradesh,Y.S.R. Kadapa,Kopparthy,14.475,78.712,6700,Under Implementation,APIIC / NICDIT,https://nicdc.in/project/vizag-chennai-industrial-corridor,
Orvakal Industrial Node,VCIC / HBIC,Mega Industrial Park & Airport Node,Andhra Pradesh,Kurnool,Orvakal,15.682,78.185,5000,Under Implementation,APIIC / NICDIT,https://nicdc.in/project/orvakal-node,
Dharwad Industrial Node,BMIC,Manufacturing Cluster,Karnataka,Dharwad,Dharwad,15.485,75.012,6000,Under Implementation,KIADB / NICDIT,https://nicdc.in/project/bengaluru-mumbai-industrial-corridor,
Zaheerabad NIMZ (National Investment & Manufacturing Zone),HNIC,NIMZ / Heavy Industry Hub,Telangana,Sangareddy,Zaheerabad,17.682,77.612,12600,Under Implementation,TGIIC / NICDIT,https://nicdc.in/project/zaheerabad-node,
Kakatiya Mega Textile Park (Warangal),Hyderabad-Warangal,Textile Cluster / Mega Park,Telangana,Warangal,Warangal,17.985,79.582,2000,Operational / PM MITRA Node,TGIIC,https://telangana.gov.in/kakatiya-textile-park,
